ProjectAccession,Instrument,Quantification Method,Software,PTM,Species,Publication_ids
PRD000001,MS:1000126,,,,9606,PMID:16518876|doi:16518876|PMID:15048972|doi:15048972|PMID:16038019|doi:16038019|PMID:12665801|doi:12665801
PRD000002,MS:1000554|MS:1000140|MS:1000187|MS:1000655|MS:1000126|MS:1000447,,,,9606,PMID:15061371|doi:15061371|PMID:16052619|doi:16052619|PMID:15188391|doi:15188391|PMID:16052624|doi:16052624|PMID:16052623|doi:16052623|PMID:16104056|doi:16104056|PMID:16052621|doi:16052621|PMID:16104057|doi:16104057|PMID:15502245
PRD000003,,,,,9606,
PRD000004,,,,,9606,
PRD000005,,,,,9606,
PRD000006,,,,,4932,
PRD000007,MS:1000189,,,MOD:00048|MOD:00046|MOD:00047,9606,
PRD000008,MS:1000126,,,,9606,PMID:16179924|doi:16179924
PRD000009,MS:1000448,,,,10090,PMID:15684408|doi:15684408
PRD000010,MS:1000447,,,,10090,PMID:16457602|doi:16457602
PRD000011,MS:1001534,,,,9606,PMID:16739993|doi:16739993
PRD000012,MS:1001533,,,,9606,PMID:16518876|doi:16518876
PRD000013,MS:1001534,,,,9606,PMID:16518876|doi:16518876
PRD000014,MS:1000169,,,MOD:00425|MOD:00481,272843,PMID:10504701|doi:10504701|PMID:16512672|doi:16512672|PMID:16247735|doi:16247735
PRD000015,MS:1000632,,,,10090,
PRD000016,MS:1000169,,,MOD:00425|MOD:00399,9031,
PRD000017,MS:1000126,,,MOD:00709|MOD:00417|MOD:00397,5691,PMID:16525475|doi:16525475
PRD000018,MS:1000168|MS:1001534|MS:1000140,,,MOD:00417|MOD:00935|4|MOD:00397|MOD:00481|MOD:00480|24,10088|9606,PMID:16912970|doi:16912970|PMID:16912972|doi:16912972|PMID:16912971|doi:16912971|PMID:16927433|doi:16927433|PMID:16927420|doi:16927420|PMID:16927432|doi:16927432|PMID:16927431|doi:16927431|PMID:16967475|doi:16967475|PMID:16912969|doi:16912969|PMID:16927429|doi:16927429|PMID:16912975|doi:16912975|PMID:16912976|doi:16912976|PMID:16912973|doi:16912973|PMID:16927427|doi:16927427|PMID:16912974|doi:16912974|PMID:16927428|doi:16927428
PRD000019,MS:1000447|MS:1000554,,,MOD:00412|MOD:00397,9606,PMID:16914840|PMID:15851850|PMID:17022648|doi:17022648|PMID:15582749|doi:15582749|PMID:16737901|doi:16737901
PRD000020,MS:1000447|MS:1000554|MS:1000140|MS:1000188|MS:1000126,,,,9606,
PRD000021,,,,,179|74968,PMID:17344860|doi:17344860
PRD000022,,,,,4952,
PRD000023,,,,,964,PMID:17853511|doi:17853511
PRD000024,MS:1000169,,,MOD:00256|MOD:00412|MOD:00397,9913,PMID:15822906|doi:15822906|PMID:18294385|doi:18294385
PRD000026,MS:1000495,,,MOD:00397,1718,
PRD000027,MS:1000447,,,,7955,PMID:17164401|doi:17164401
PRD000029,MS:1000607|MS:1001533,,,,10090,PMID:17893089|doi:17893089
PRD000030,MS:1000140,,,,10090,PMID:17722207|doi:17722207
PRD000032,MS:1000447|MS:1000554|MS:1000188|MS:1000449|MS:1000126,,,,9606,PMID:17721511|doi:17721511
PRD000033,MS:1000657,,,,8355,PMID:10966104|PMID:11350965|doi:11350965
PRD000035,MS:1000204,,,,5476,PMID:23232717|doi:23232717
PRD000036,,,,MOD:00260|MOD:00419,9031,
PRD000037,MS:1000449,,,,3055,
PRD000038,MS:1000697,,,,5478,PMID:19941307|doi:19941307
PRD000039,MS:1000204,,,,5476,
PRD000042,MS:1000490,,,,9606,PMID:17711322|doi:17711322
PRD000043,MS:1000632,,,,9606,
PRD000044,MS:1000447,,,MOD:00696|MOD:00412|MOD:00919|MOD:00912|MOD:00239|MOD:00125|MOD:00042|MOD:00397|MOD:00408|MOD:00046|MOD:00047,3702,PMID:18436743|doi:18436743
PRD000045,MS:1000448|MS:1000449,,,MOD:00429|MOD:00719|MOD:00397|MOD:00552,10090,PMID:18534969|doi:18534969
PRD000046,MS:1000854,,,MOD:00719|MOD:00397,9606,
PRD000047,MS:1000449,,,MOD:00696|MOD:00429|MOD:00394|MOD:00719|MOD:00397|MOD:00552,7955,
PRD000049,MS:1000656,,,,9606,PMID:17272266|doi:17272266
PRD000050,MS:1000448,,,MOD:00719|MOD:00397,4932,PMID:18703679|doi:18703679
PRD000051,MS:1000448,,,,4577|3888,
PRD000052,,,,,9606,PMID:19043101|doi:19043101
PRD000053,MS:1000490,,,,10090|9606|10116,PMID:19678649|doi:19678649
PRD000054,MS:1000449,,,MOD:00048|MOD:00394|MOD:00397|MOD:00719|MOD:00408|MOD:00696|MOD:00412,7955,PMID:18307296|doi:18307296
PRD000055,MS:1000448|MS:1000449,,,MOD:00429|MOD:00719|MOD:00399|MOD:00397|MOD:00552|MOD:00638,10090|10116,PMID:18850632|doi:18850632
PRD000056,MS:1000656|MS:1000657,,,,9606,
PRD000057,MS:1000447,,,,602,PMID:16684765|doi:16684765
PRD000059,MS:1000449,,,MOD:00719|MOD:00546|MOD:00397,9606,
PRD000060,MS:1001534,,,,5911,
PRD000062,MS:1000449,,,MOD:00429|MOD:00719|MOD:00397|MOD:00552,9606|10116,PMID:19119138|doi:19119138
PRD000065,MS:1000854,,,MOD:00048|MOD:00696|MOD:00394|MOD:00719|MOD:00397,9606,
PRD000066,,,,,10116,
PRD000067,MS:1000126,,,MOD:00425,5061,PMID:19193216|doi:19193216
PRD000068,MS:1000655,,,MOD:01090|MOD:00935|MOD:01233|MOD:00449|MOD:00408|MOD:00420,9606,PMID:19436052|doi:19436052
PRD000069,MS:1000189|MS:1000655|MS:1000169|MS:1000656|MS:1000449|MS:1000448|MS:1000658|MS:1000854|MS:1000632|MS:1001536|MS:1000447|MS:1001533,,,,9606,PMID:19448641|doi:19448641
PRD000070,,,,,,PMID:18842122|doi:18842122
PRD000072,MS:1000448,,,MOD:00040|MOD:00719|MOD:00397,7227,
PRD000073,MS:1000447|MS:1000448|MS:1000125|MS:1000655,,,MOD:00412|MOD:00040|MOD:00420|MOD:00684|MOD:00397|MOD:00419,9606,PMID:16335952|doi:16335952|PMID:18632595|doi:18632595|PMID:16684767|doi:16684767
PRD000074,MS:1000447|MS:1000449,,,,436495|436486,PMID:17431180|doi:17431180|PMID:18436782|doi:18436782|PMID:17431179|doi:17431179|PMID:17823333|doi:17823333
PRD000075,MS:1000490|MS:1000632,,,MOD:00425|MOD:01214|MOD:00587|MOD:00394|MOD:00544|MOD:00719|MOD:01212|MOD:00400|MOD:01232,4932|9606,PMID:19420222|doi:19420222
PRD000079,MS:1000658,,,,10116,PMID:21751356|doi:21751356
PRD000080,MS:1000168,,,,169683|273133,
PRD000081,MS:1000697,,,,448385,
PRD000082,MS:1000169,,,MOD:00256|MOD:00412|MOD:00397,9913,PMID:15822906|doi:15822906|PMID:8026443|PMID:17636165|doi:17636165|PMID:20574525|doi:20574525
PRD000083,MS:1000448|MS:1000854,,,MOD:00719|MOD:00397,7227,
PRD000084,MS:1000447,,,MOD:00412|MOD:00397|MOD:00481,3702,PMID:19546170|doi:19546170
PRD000085,MS:1000447,,,,8801,PMID:17431180|doi:17431180|PMID:17823333|doi:17823333
PRD000086,,,,MOD:00425|MOD:00564,4932,PMID:17439666|doi:17439666
PRD000087,MS:1000448,,,MOD:00719|MOD:00397,307796,PMID:19750512|doi:19750512
PRD000088,MS:1000447,,,,39053,PMID:17431180|doi:17431180|PMID:19750512|doi:19750512|PMID:18436782|doi:18436782|PMID:17823333|doi:17823333
PRD000089,MS:1000490,,,MOD:00719|MOD:00719|MOD:01060|MOD:00417,10090,PMID:19701918|doi:19701918
PRD000092,MS:1000447,,,MOD:00719|MOD:00397,9606,PMID:19778645|doi:19778645
PRD000093,MS:1000447,,,MOD:00719|MOD:00397,4932,
PRD000096,MS:1000447,,,MOD:00048|MOD:00696|MOD:00412|MOD:00397|MOD:00046|MOD:00047,3702,PMID:19376835|doi:19376835
PRD000097,MS:1000447,,,MOD:00719|MOD:00540|MOD:00397|MOD:00480,6239,PMID:19260763|doi:19260763
PRD000099,MS:1000447,,,,59729,PMID:19609557|doi:19609557|PMID:18351667|doi:18351667
PRD000100,MS:1000449,,,MOD:00412|MOD:00425|MOD:01214,593117,PMID:19558674|doi:19558674
PRD000103,MS:1000658,,,MOD:00425|MOD:01214,9606,
PRD000104,,,,MOD:00048|MOD:00696|MOD:00046|MOD:00047|MOD:00721,9606,PMID:19664994|doi:19664994
PRD000105,MS:1000655|MS:1000657,,,MOD:00564|MOD:00597|MOD:00425,554,
PRD000106,MS:1000447,,,,9606,
PRD000108,MS:1000449,,,MOD:01214,9606,PMID:19810032|doi:19810032
PRD000109,MS:1000449,,,,196627,PMID:20025733|doi:20025733
PRD000111,MS:1000449,,,MOD:00260|MOD:00419,10090,PMID:14532353|doi:14532353|PMID:16927429|doi:16927429|PMID:16948836|doi:16948836
PRD000112,MS:1000449|MS:1000632,,,MOD:01233|MOD:00564|MOD:00425|MOD:01214,10090|562|9606,
PRD000113,MS:1000189|MS:1000449,,,,9606,PMID:19670903|doi:19670903
PRD000114,MS:1000449,,,,3712,PMID:20462273|doi:20462273
PRD000115,MS:1000449,,,MOD:00260|MOD:00419,10090,PMID:20099899|doi:20099899|PMID:14532353|doi:14532353|PMID:16927429|doi:16927429|PMID:16948836|doi:16948836
PRD000116,MS:1000448,,,,3715,PMID:19995728|doi:19995728
PRD000117,MS:1000449,,,,,
PRD000118,MS:1000490,,,MOD:00394|MOD:00696|MOD:00425|MOD:01214,9606,PMID:20058876|doi:20058876
PRD000119,MS:1001534,,,,3915,PMID:20806226|doi:20806226
PRD000122,MS:1000447,,,,6239,PMID:18653799|doi:18653799
PRD000123,MS:1000449,,,MOD:00638|MOD:00429|MOD:00696|MOD:00425|MOD:01214|MOD:00552,9606,PMID:19770167|doi:19770167
PRD000124,MS:1000449,,,MOD:00638|MOD:00696|MOD:00084|MOD:00425|MOD:01214|MOD:00552,9606,PMID:19770167|doi:19770167
